Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status
Diary of a Wimpy Kid,Thor Freudenthal,"['Nina Jacobson', 'Brad Simpson']",Jack N. Green,United States,92,2010-03-19,20th Century Fox,English,"['Jackie Filgo Jeff Filgo', 'Jeff Judah', 'Gabe Sachs']","['Zachary Gordon', 'Robert Capron', 'Rachael Harris', 'Steve Zahn']",Wendy Greene Bricmont,Theodore Shapiro,"['Fox 2000 Pictures', 'Color Force', 'Dune Entertainment']","['Diary of a Wimpy Kid', 'by ', 'Jeff Kinney']",,15000000.0,76200000.0,Success
Repo Men,Miguel Sapochnik,Scott Stuber,Enrique Chediak,,111,2010-03-19,Universal Pictures,,"['Eric Garcia', 'Garrett Lerner']","['Jude Law', 'Forest Whitaker', 'Liev Schreiber', 'Alice Braga', 'Carice van Houten', 'Chandler Canterbury', 'RZA', 'Yvette Nicole Brown']",Richard Francis-Bruce,Marco Beltrami,"['Relativity Media', 'Stuber Pictures']","['The Repossession Mambo', 'by Eric Garcia']",,32000000.0,18400000.0,Failure
City Island,Raymond De Felitta,"['Raymond De Felitta', 'Andy Garcia', 'Lauren Versel', 'Zachary Matz']",Vanja Cernjul,United States,104,2009-03-23,Anchor Bay Films,English,Raymond De Felitta,"['Andy Garcia', 'Julianna Margulies', 'Steven Strait', 'Emily Mortimer', 'Ezra Miller', 'Dominik Garcia-Lorido', 'Alan Arkin']",David Leonard,Jan A.P. Kaczmarek,"['CineSon Entertainment', 'Medici Entertainment', 'NovaStar Digital']",,,6000000.0,7875862.0,Failure
Greenberg,Noah Baumbach,"['Scott Rudin', 'Jennifer Jason Leigh']",Harris Savides,United States,107,2010-02-14,Focus Features,English,Noah Baumbach,"['Ben Stiller', 'Greta Gerwig', 'Rhys Ifans', 'Jennifer Jason Leigh']",Tim Streeto,James Murphy,Scott Rudin Productions,,"['Jennifer Jason Leigh', 'Noah Baumbach']",25000000.0,7400000.0,Failure
Kimjongilia,N.C. Heikin,,,United States,75,,,,N.C. Heikin,,,,,,,,,
The Killing Jar,Mark Young,Jonathan Sachar,Gregg Easterbrook,United States,90,,New Films International,English,Mark Young,"['Michael Madsen', 'Harold Perrineau', 'Amber Benson', 'Danny Trejo', 'Jake Busey', 'Lindsey Axelsson']",Mark Young,,Morningstar Pictures,,,,,
The Runaways,Floria Sigismondi,"['John Linson', 'Art Linson', 'Bill Pohlad']",Benoît Debie,United States,106,2010-01-24,"['Apparition (United States)', 'Summit Entertainment (international)']",English,Floria Sigismondi,"['Dakota Fanning', 'Kristen Stewart', 'Michael Shannon']",Richard Chew,Lillian Berlin,"['River Road Entertainment', 'Linson Entertainment']","['Neon Angel: A Memoir of a Runaway', 'by ', 'Cherie Currie']",,10000000.0,4600000.0,Failure
Hot Tub Time Machine,Steve Pink,"['John Cusack', 'Grace Loh', 'John Morris', 'Matt Moore']",Jack N. Green,United States,99,2010-03-26,"['MGM Distribution Co.', ' (United States)', 'Lakeshore International', ' (International)']",English,"['Josh Heald', 'Sean Anders', 'John Morris']","['John Cusack', 'Rob Corddry', 'Craig Robinson', 'Clark Duke', 'Crispin Glover', 'Lizzy Caplan', 'Chevy Chase']","['George Folsey, Jr.', 'James Thomas']",Christophe Beck,"['New Crime Productions', 'Metro-Goldwyn-Mayer', 'United Artists']",,Josh Heald,36000000.0,64599999.99999999,Failure
How to Train Your Dragon,"['Chris Sanders', 'Dean DeBlois']",Bonnie Arnold,Roger Deakins (visual consultant),United States,98,2010-03-21,Paramount Pictures,English,"['Will Davies', 'Dean DeBlois', 'Chris Sanders']","['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'T.J. Miller', 'Kristen Wiig']","['Darren Holmes', 'Maryann Brandon']",John Powell,DreamWorks Animation,"['How to Train Your Dragon', 'by ', 'Cressida Cowell']",,165000000.0,494900000.0,Success
Chloe,Atom Egoyan,"['Joe Medjuck', 'Jeffrey Clifford', 'Ivan Reitman']",Paul Sarossy,,96,2009-09-13,"['Sony Pictures Classics (United States)', 'E1 Distribution (Canada)', 'StudioCanal (France)']",English,Erin Cressida Wilson,"['Julianne Moore', 'Liam Neeson', 'Amanda Seyfried', 'Max Thieriot']",Susan Shipton,Mychael Danna,"['The Montecito Picture Company', 'StudioCanal']","['Nathalie...', 'by ', 'Anne Fontaine']",,10000000.0,13600000.0,Failure
Waking Sleeping Beauty,Don Hahn,"['Don Hahn', 'Peter Schneider']",,United States,85,2009-09-06,"['Walt Disney Studios', 'Motion Pictures']",English,Patrick Pacheco,"['Roy E. Disney', 'Michael Eisner', 'Jeffrey Katzenberg', 'Randy Cartwright', 'Howard Ashman']","['Ellen Keneshea', 'Vartan Nazarian', 'John Damien Ryan']",Chris P. Bacon,Stone Circle Pictures,,,,84918.0,
The Last Song,Julie Anne Robinson,"['Adam Shankman', 'Jennifer Gibgot']",John Lindley,United States,107,2010-03-31,"['Walt Disney Studios', 'Motion Pictures']",English,"['Nicholas Sparks', 'Jeff Van Wie']","['Miley Cyrus', 'Liam Hemsworth', 'Bobby Coleman', 'Kelly Preston', 'Greg Kinnear']",Nancy Richardson,Aaron Zigman,"['Touchstone Pictures', 'Offspring Entertainment']","['The Last Song', 'by Nicholas Sparks']",,20000000.0,89000000.0,Success
Clash of the Titans,Louis Leterrier,"['Basil Iwanyk', 'Kevin De La Noy', 'Richard D. Zanuck']",Peter Menzies Jr.,,108,2010-04-02,Warner Bros. Pictures,English,"['Travis Beacham', 'Phil Hay', 'Matt Manfredi']","['Sam Worthington', 'Gemma Arterton', 'Mads Mikkelsen', 'Alexa Davalos', 'Ralph Fiennes', 'Liam Neeson']","['Vincent Tabaillon', 'Martin Walsh']",Ramin Djawadi,"['Legendary Pictures', 'The Zanuck Company', 'Thunder Road Pictures']","['Clash of the Titans', 'by ', 'Beverley Cross']",,125000000.0,493200000.0,Success
Why Did I Get Married Too?,Tyler Perry,"['Tyler Perry', 'Reuben Cannon']",Toyomichi Kurita,United States,121,2010-04-02,Lionsgate,English,Tyler Perry,"['Janet Jackson', 'Jill Scott', 'Sharon Leal', 'Malik Yoba', 'Richard T. Jones', 'Tasha Smith', 'Lamman Rucker', 'Michael Jai White', 'Louis Gossett Jr.', 'Cicely Tyson', 'Tyler Perry']",Maysie Hoy,Aaron Zigman,Tyler Perry Studios,"['Characters', 'by Tyler Perry']",,20000000.0,60700000.0,Success
Don McKay,Jake Goldberger,Jim Young,Phil Parmet,United States,87,2009-04-24,Image Entertainment,English,Jake Goldberger,"['Thomas Haden Church', 'Elisabeth Shue', 'Melissa Leo', 'James Rebhorn', 'Keith David', 'M. Emmet Walsh']",Andrew Dickler,Steven Bramson,Animus Films,,,3000000.0,,
The Greatest,Shana Feste,"['Lynette Howell', 'Beau St. Clair']",John Bailey,United States,98,2009-01-17,Paladin,English,Shana Feste,"['Pierce Brosnan', 'Susan Sarandon', 'Carey Mulligan']",Cara Silverman,Christophe Beck,"['Barbarian Film Group', 'Oceana Media Finance', 'Silverwood Films', 'Irish DreamTime']",,,6000000.0,985181.0,Failure
Date Night,Shawn Levy,Shawn Levy,Dean Semler,United States,88,2010-04-06,20th Century Fox,English,Josh Klausner,"['Steve Carell', 'Tina Fey', 'Taraji P. Henson', 'Common', 'Mark Wahlberg']",Dean Zimmerman,Christophe Beck,"['20th Century Fox', '21 Laps Entertainment', 'Dune Entertainment']",,,55000000.0,152300000.0,Success
Letters to God,"David Nixon , Patrick Doughtie (co-director)","David Nixon, Kim Dawson, Tom Swanson, Art D'Alessandro",Bob Scott,United States,110,2010-04-09,Vivendi Entertainment,English,"['Patrick Doughtie', ""Art D'Alessandro"", 'Sandra Thrift', 'Cullen Douglas']","['Robyn Lively', 'Jeffrey S.S. Johnson', 'Maree Cheatham', 'Tanner Maguire', 'Michael Christopher Bolten', 'Bailee Madison', 'Ralph Waite']",Patrick Tyler,Colin O'Malley,Possibility Pictures,,,4000000.0,2900000.0,Failure
After.Life,Agnieszka Wójtowicz-Vosloo,"['Bill Perkins', 'Brad Michael Gilbert', 'Celine Rattray']",Anastas N. Michos,United States,104,2009-11-07,Anchor Bay Entertainment,English,"['Agnieszka Wojtowicz-Vosloo', 'Paul Vosloo', 'Jakub Korolczuk']","['Christina Ricci', 'Liam Neeson', 'Justin Long']",Niven Howie,Paul Haslinger,"['Lleju Productions', 'Harbor Light Entertainment', 'Plum Pictures']",,,,2002618.0,
The Black Waters of Echo's Pond,Gabriel Bologna,"['Raymond J. Markovich', 'Jason Loughbridge']","Massimo Zeri, AIC",United States,,2009-10-11,Parallel Media,English,"['Michael Berenson', 'Gabriel Bologna', 'Sean Clark']","['Robert Patrick', 'Danielle Harris', 'James Duval', 'Nick Mennell', 'Mircea Monroe']","['Andrew Cohen', 'Michael Spencer']",Harry Manfredini,"['Parallel Media', 'Project 8 Films']",,,5000000.0,224409.0,Failure
"La
Mission",Peter Bratt,"['Benjamin Bratt', 'Peter Bratt', 'Alpita Patel']",Hiro Narita,United States,117,2009-01-19,Global Cinema Distribution,English,Peter Bratt,"['Benjamin Bratt', 'Jeremy Ray Valdez', 'Max Rosenak', 'Erika Alexander', 'Jesse Borrego']",Stan Webb,Mark Kilian,,,,,,
When You're Strange,Tom DiCillo,"['John Beug', 'Jeff Jampol', 'Peter Jankowski', 'Dick Wolf']",Paul Ferrara,United States,86,2009-01-17,Rhino Entertainment,English,Tom DiCillo,,"['Micky Blythe', 'Kevin Krasny']",The Doors,,,,,2800000.0,
Death at a Funeral,Neil LaBute,"['Sidney Kimmel', 'William Horberg', 'Chris Rock', 'Share Stallings', 'Laurence Malkin']",Rogier Stoffers,,92,2010-04-12,Screen Gems (through Sony Pictures Releasing ),English,Dean Craig,"['Loretta Devine', 'Peter Dinklage', 'Danny Glover', 'Regina Hall', 'Martin Lawrence', 'James Marsden', 'Tracy Morgan', 'Chris Rock', 'Zoë Saldaña', 'Columbus Short', 'Luke Wilson', 'Keith David', 'Ron Glass', 'Kevin Hart']",Tracey Wadmore-Smith,Christophe Beck,"['Sidney Kimmel Entertainment', 'Wonderful Films', 'Parabolic Pictures', 'Stable Way Entertainment']","['Death at a Funeral', 'by Dean Craig']",,21000000.0,49100000.0,Success
Kick-Ass,Matthew Vaughn,"['Matthew Vaughn', 'Brad Pitt', 'Kris Thykier', 'Adam Bohling', 'Tarquin Pack', 'David Reid']",Ben Davis,,118,2010-03-12,"['Lionsgate (United States)', 'Focus Features International (Uncredited; United Kingdom, Australia, Germany, Latin America, Austria, Switzerland and New Zealand; through Universal Pictures )']",English,"['Jane Goldman', 'Matthew Vaughn']","['Aaron Johnson', 'Christopher Mintz-Plasse', 'Chloë Grace Moretz', 'Mark Strong', 'Nicolas Cage']","['Pietro Scalia', 'Jon Harris', 'Eddie Hamilton']","['John Murphy', 'Henry Jackman', 'Marius de Vries', 'Ilan Eshkeri']","['Marv Films', 'Plan B Entertainment']","['Mark Millar', 'John Romita Jr.']",,28000000.0,96200000.0,Success
The City of Your Final Destination,James Ivory,"['Paul Bradley', 'Pierre Proner']",Javier Aguirresarobe,United States,118,2009-03-21,Screen Media Films,English,Ruth Prawer Jhabvala,"['Anthony Hopkins', 'Laura Linney', 'Charlotte Gainsbourg', 'Norma Aleandro', 'Alexandra Maria Lara', 'Omar Metwally', 'Hiroyuki Sanada']",John David Allen,Jorge Drexler,"['Hyde Park International', 'Merchant Ivory Productions']","['The City of Your Final Destination', 'by ', 'Peter Cameron']",,8300000.000000001,1400000.0,Failure
Exit Through the Gift Shop,Banksy,Jaimie D'Cruz,,United Kingdom,87,2010-01-24,Revolver Entertainment,,,"['Banksy', 'Mr. Brainwash', 'Shepard Fairey', 'Invader']","['Chris King', 'Tom Fulford']",Geoff Barrow,Paranoid Pictures,,,,5300000.0,
The Joneses,Derrick Borte,"['Derrick Borte', 'Doug Mankoff', 'Andrew Spaulding', 'Kristi Zea']",Yaron Orbach,United States,96,2009-09-13,Roadside Attractions,English,Derrick Borte,"['Demi Moore', 'David Duchovny', 'Amber Heard', 'Ben Hollingsworth', 'Gary Cole', 'Lauren Hutton']",Janice Hampton,Nick Urata,"['Premiere Picture', 'Echo Lake Productions']",,,10000000.0,7000000.0,Failure
The Perfect Game,William Dear,"['David Salzberg', 'Mark W Koch', 'Christian Tureaud', 'Jason French']",Bryan F. Greenberg,United States,118,2009-03-21,"['Lionsgate', 'Image Entertainment']",English,W. William Winokur,"['Clifton Collins Jr.', 'Cheech Marin', 'Emilie de Ravin', 'Jake T. Austin', 'Moises Arias', 'Jansen Panettiere', 'Ryan Ochoa', 'Louis Gossett Jr.', 'Bruce McGill']",Chris Conlee,Bill Conti,"['IndustryWorks Pictures', 'HighRoad Entertainment', 'Prelude Pictures', 'Lone Runner Entertainment', 'Independent Producers Alliance']",,,,3878993.0,
Oceans,"['Jacques Perrin', 'Jacques Cluzaud ', '(co-director)']","['Jacques Perrin', 'Romain Legrand', 'Nicolas Mauvernay', 'Jake Eberts']",David Reichert,France,104,2009-10-17,Pathé Distribution,French,"['Christophe Cheysson', 'Jacques Cluzaud', 'Laurent Debas', 'Stéphane Durand', 'Laurent Gaudé', 'Jacques Perrin', 'François Sarano']",,"['Catherine Mauchain', 'Vincent Schmidt']",Bruno Coulais,"['Pathé', 'Participant Media', 'Galatée Films', 'France 2 Cinéma', 'France 3 Cinéma', 'Canal+', 'TPS Star', 'Alfred P. Sloan Foundation', 'Census of Marine Life']",,,80000000.0,82700000.0,Failure
The Back-up Plan,Alan Poul,"['Todd Black', 'Jason Blumenthal', 'Steve Tisch']",Xavier Pérez Grobet,United States,104,2010-04-23,"['CBS Films', ' (United States)', 'Sony Pictures Releasing International', ' (International)']",English,Kate Angelo,"['Jennifer Lopez', ""Alex O'Loughlin"", 'Eric Christian Olsen', 'Anthony Anderson', 'Linda Lavin']",Priscilla Nedd-Friendly,Stephen Trask,Escape Artists,,,35000000.0,77500000.0,Failure
The Losers,Sylvain White,"['Joel Silver', 'Akiva Goldsman', 'Kerry Foster']",Scott Kevan,United States,97,2010-04-23,Warner Bros. Pictures,English,"['Peter Berg', 'James Vanderbilt']","['Jeffrey Dean Morgan', 'Zoe Saldana', 'Chris Evans', 'Idris Elba', 'Columbus Short', 'Oscar Jaenada', 'Jason Patric']",David Checel,John Ottman,"['Dark Castle Entertainment', 'Vertigo (DC)', 'StudioCanal', 'Weed Road Pictures']","['Andy Diggle', 'Jock']",,25000000.0,29900000.0,Failure
Behind the Burly Q,Leslie Zemeckis,"['Leslie Zemeckis', 'Sheri Hellard', 'Robert Zemeckis']",Sheri Hellard,United States,98,2010-04-23,First Run Features,English,Leslie Zemeckis,,Evan Finn,Phil Marshall,"Mistress, Inc.",,,,23889.0,
Boogie Woogie,Duncan Ward,"['Danny Moynihan', 'Kami Naghdi', 'Christopher Simon', 'Cat Villiers']",John Mathieson,United Kingdom,94,2009-06-26,Vertigo Films,English,Danny Moynihan,"['Gillian Anderson', 'Alan Cumming', 'Heather Graham', 'Danny Huston', 'Christopher Lee', 'Joanna Lumley', 'Charlotte Rampling', 'Amanda Seyfried', 'Stellan Skarsgård', 'Jaime Winstone']",Kant Pan,Janusz Podrazik,"['The Works International', 'Constance Media', 'Firefly Films', 'Muse Productions', 'P&C Arcade Films', 'Piccadilly Pictures', 'Autonomous', 'Colourframe', 'S Films']","['Boogie Woogie', 'by Danny Moynihan']",,6000000.0,47527.0,Failure
Breath Made Visible,Ruedi Gerber,,,,82,2009-08-07,,English,,,,,,,,,,
Paper Man,"['Kieran Mulroney', 'Michele Mulroney']","['Richard N. Gladstein', 'Guymon Casady']",Eigil Bryld,United States,110,2009-06-15,MPI Media Group,English,"['Kieran Mulroney', 'Michele Mulroney']","['Jeff Daniels', 'Ryan Reynolds', 'Emma Stone', 'Kieran Culkin', 'Hunter Parrish', 'Lisa Kudrow']",Sam Seig,Mark McAdam,FilmColony,,,,13514.0,
Furry Vengeance,Roger Kumble,"['Robert Simonds', 'Keith Goldberg']",Peter Lyons Collister,United States,92,2010-04-30,Summit Entertainment,English,"['Michael Carnes', 'Josh Gilbert']","['Brendan Fraser', 'Brooke Shields', 'Ken Jeong']",Lawrence Jordan,Edward Shearmur,"['Participant Media', 'Imagenation Abu Dhabi', 'Robert Simonds Productions']",,,35000000.0,36200000.0,Failure
A Nightmare on Elm Street,Samuel Bayer,"['Michael Bay', 'Andrew Form', 'Brad Fuller']",Jeff Cutter,United States,95,2010-04-27,Warner Bros. Pictures,English,"['Wesley Strick', 'Eric Heisserer']","['Jackie Earle Haley', 'Kyle Gallner', 'Rooney Mara', 'Katie Cassidy', 'Thomas Dekker', 'Kellan Lutz']",Glen Scantlebury,Steve Jablonsky,"['New Line Cinema', 'Platinum Dunes']","['A Nightmare on Elm Street', 'by ', 'Wes Craven']",Wesley Strick,35000000.0,117700000.0,Success
Freakonomics,"['Heidi Ewing', 'Alex Gibney', 'Seth Gordon', 'Rachel Grady', 'Eugene Jarecki', 'Morgan Spurlock']","['Chad Troutwine', 'Chris Romano', ""Dan O'Meara""]","['Junji Aoki', 'Derek Hallquist', 'Tony Hardmon', 'Darren Lew', 'Daniel Marracino', 'Ferne Pearlstein', 'Rob VanAlkemade']",United States,85,2010-04-30,Magnolia Pictures,English,"['Peter Bull', 'Alex Gibney', 'Jeremy Chilnick', 'Morgan Spurlock', 'Eugene Jarecki', 'Heidi Ewing', 'Rachel Grady', 'Seth Gordon']",,"['Douglas Blush', 'Tova Goodman', 'Sloane Klevin', 'Luis Lopez', 'Nelson Ryland', 'Michael Taylor']","['Paul Brill', 'Craig DeLeon', 'Michael Furjanic', 'Human', 'Mike MacAllister', 'Peter Nashel', 'Jon Spurney', 'Michael Wandmacher']","['Chad Troutwine Films', 'Cold Fusion Media Group', 'Green Film Company', 'Human Worldwide', 'Jigsaw Productions', 'Loki Films']",,,2900000.0,103735.0,Failure
The Good Heart,Dagur Kári,,Rasmus Videbæk,,95,2009-09-11,Magnolia Pictures (US),English,Dagur Kári,"['Brian Cox', 'Paul Dano', 'Isild Le Besco']",Andri Steinn,,Zik Zak Filmworks,,,,343818.0,
Harry Brown,Daniel Barber,"['Matthew Vaughn', 'Kris Thykier', 'Matthew Brown', 'Keith Bell']",Martin Ruhe,United Kingdom,103,2009-09-12,Lionsgate,English,Gary Young,"['Michael Caine', 'Emily Mortimer', 'Charlie Creed-Miles', 'David Bradley', 'Iain Glen', 'Sean Harris', 'Ben Drew', ""Jack O'Connell"", 'Jamie Downey', 'Liam Cunningham']",Joe Walker,"['Martin Phipps', 'Ruth Barrett', 'Pete Tong', 'Theo Green', 'Paul Rogers']","['Marv Partners', 'UK Film Council', 'HanWay Films', 'Prescience', 'Framestore Features']",,,7300000.0,10300000.0,Failure
Please Give,Nicole Holofcener,Anthony Bregman,Yaron Orbach,United States,87,2010-01-22,Sony Pictures Classics,English,Nicole Holofcener,"['Catherine Keener', 'Amanda Peet', 'Oliver Platt', 'Rebecca Hall', 'Ann Guilbert', 'Sarah Steele']",Robert Frazen,Marcelo Zarvos,Likely Story,,,3000000.0,4500000.0,Failure
The Infidel,Josh Appignanesi,Arvind Ethan David,Natasha Braier,United Kingdom,105,2010-04-09,Revolver,English,David Baddiel,"['Omid Djalili', 'Richard Schiff', 'Archie Panjabi', 'Amit Kaushik Shah', 'Yigal Naor', 'Matt Lucas', 'Ricky Sekhon']",Kim Gaster,Erran Baron Cohen,"['Slingshot Productions', 'Met Film Production']",,,,,
Sex & Drugs & Rock & Roll,Mat Whitecross,Damian Jones,"['Christopher Ross', 'Brian Tufano']",United Kingdom,113,2010-01-08,Entertainment Film Distributors,English,Paul Viragh,"['Andy Serkis', 'Naomie Harris', 'Ray Winstone', 'Olivia Williams', 'Noel Clarke', 'Toby Jones', 'Mackenzie Crook', 'Bill Milner']",,Chaz Jankel,DJ Films,,,,1000000.0,
The Trotsky,Jacob Tierney,Kevin Tierney,Guy Dufaux,Canada,120,2009-09-11,Alliance Films,English,Jacob Tierney,"['Jay Baruchel', 'Emily Hampshire', 'Colm Feore', 'Saul Rubinek', 'Michael Murphy']",Arthur Tarnowski,Malajube,Portman Entertainment Group,,,,440000.0,
Iron Man 2,Jon Favreau,Kevin Feige,Matthew Libatique,United States,125,2010-04-26,Paramount Pictures,English,Justin Theroux,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson']","['Dan Lebental', 'Richard Pearson']",John Debney,Marvel Studios,"['Stan Lee', 'Larry Lieber', 'Don Heck', 'Jack Kirby']",,170000000.0,623900000.0,Success
Babies,Thomas Balmès,Alain Chabat,"['Jérôme Alméras', 'Frazer Bradshaw', 'Steeven Petitteville']",France,79,2010-05-07,StudioCanal,,,"['Ponijao', 'Bayar(jargal)', 'Mari', 'Hattie']","['Reynald Bertrand', 'Craig McKay']",Bruno Coulais,"['StudioCanal', 'Chez Wam']",,,,,
Casino Jack and the United States of Money,Alex Gibney,"['Bill Banowsky', 'Mark Cuban', 'Benjamin Goldhirsh', 'Jeff Skoll', 'Todd Wagner', 'Diane Weyermann']",Maryse Alberti,United States,118,,Magnolia Pictures,English,Alex Gibney,,Alison Ellwood,David Robbins,"['Jigsaw Productions', 'Participant Media']",,,,176865.0,
The Lightkeepers,Daniel Adams,,Tom Jewett,United States,97,2009-12-18,,English,Daniel Adams,"['Richard Dreyfuss', 'Bruce Dern', 'Blythe Danner', 'Mamie Gummer', 'Tom Wisdom', 'Julie Harris']",Dean Goodhill,Pinar Toprak,,,,,32307.0,
Multiple Sarcasms,Brooks Branch,Chris Bongirne,Jacek Laskus,United States,97,2010-04-08,Multiple Avenue Releasing,English,"['Brooks Branch ', ' Linda Morris']","['Timothy Hutton', ' ', ' ', 'Mira Sorvino', ' ', ' ', 'Stockard Channing', ' ', ' ', 'Dana Delany', ' ', ' ', 'Chris Sarandon', ' ', ' ', 'Mario Van Peebles']",Plummy Tucker,George J. Fontenette,Multiple Avenue Releasing,,,,,
Mother and Child,Rodrigo García,"['Lisa Maria Falcone ', ' Julie Lynn']",Xavier Pérez Grobet,,125,2009-09-14,Sony Pictures Classics,English,Rodrigo García,"['Naomi Watts', 'Annette Bening', 'Kerry Washington', 'Jimmy Smits', 'Samuel L. Jackson', 'David Morse', 'David Ramsey']",Steven Weisberg,Ed Shearmur,"['Cha Cha Cha Films', 'Everest Entertainment', 'Mockingbird Pictures']",,,7000000.0,5600000.0,Failure
